
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-20 14:18:49 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:50 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:51 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:18:52 /malaybalay-pageant/dashboard ................................... ~ 513.02ms
  2025-04-20 14:18:58 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:18:58 /malaybalay-pageant/user-dashboard .............................. ~ 504.33ms
  2025-04-20 14:18:59 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:00 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:01 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:02 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:03 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:05 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:06 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:07 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:08 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:09 /malaybalay-pageant/user-dashboard .............................. ~ 511.50ms
  2025-04-20 14:19:09 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:10 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:11 /malaybalay-pageant/dashboard ................................... ~ 498.65ms
  2025-04-20 14:19:12 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:13 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:14 /malaybalay-pageant/user-dashboard .................................... ~ 2s
  2025-04-20 14:19:16 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:18 /malaybalay-pageant/dashboard ......................................... ~ 1s
  2025-04-20 14:19:19 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:19 /tenant/redirect-login ................................................ ~ 2s
  2025-04-20 14:19:20 /malaybalay-pageant/dashboard ......................................... ~ 3s
  2025-04-20 14:19:24 /tenant/login ......................................................... ~ 6s
  2025-04-20 14:19:30 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:32 /malaybalay-pageant/dashboard ................................... ~ 511.20ms
  2025-04-20 14:19:32 /build/assets/app-Bo-u61x1.js ................................... ~ 515.28ms
  2025-04-20 14:19:33 /malaybalay-pageant/user-dashboard .................................... ~ 1s
  2025-04-20 14:19:32 /build/assets/app-DbTWgVAB.css ........................................ ~ 1s
  2025-04-20 14:19:33 /malaybalay-pageant/dashboard ................................... ~ 507.01ms
  2025-04-20 14:19:33 /favicon.ico .................................................... ~ 508.50ms
  2025-04-20 14:19:34 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:19:35 /tenant/login ................................................... ~ 569.30ms
  2025-04-20 14:19:35 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:19:36 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:19:37 /tenant/login ......................................................... ~ 1s
  2025-04-20 14:19:37 /tenant/register ...................................................... ~ 1s
  2025-04-20 14:19:38 /tenant/register ...................................................... ~ 1s
  2025-04-20 14:19:39 /tenant/login ......................................................... ~ 1s
