
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-20 13:32:33 /assets/js/core/jquery-3.7.1.min.js .............................. ~ 26.26ms
  2025-04-20 13:32:33 /assets/js/core/popper.min.js .................................... ~ 17.50ms
  2025-04-20 13:32:33 /assets/js/core/bootstrap.min.js ................................. ~ 16.62ms
  2025-04-20 13:32:33 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 0.75ms
  2025-04-20 13:32:33 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 9.99ms
  2025-04-20 13:32:33 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ....... ~ 14.32ms
  2025-04-20 13:32:33 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 2.64ms
  2025-04-20 13:32:33 /assets/js/plugin/datatables/datatables.min.js ................... ~ 11.23ms
  2025-04-20 13:32:33 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ....... ~ 12.50ms
  2025-04-20 13:32:33 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 2.64ms
  2025-04-20 13:32:33 /assets/js/plugin/jsvectormap/world.js ............................ ~ 3.80ms
  2025-04-20 13:32:33 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 5.64ms
  2025-04-20 13:32:33 /assets/js/kaiadmin.min.js ....................................... ~ 11.18ms
  2025-04-20 13:32:33 /assets/js/setting-demo.js ....................................... ~ 14.66ms
  2025-04-20 13:32:33 /assets/js/demo.js ............................................... ~ 18.80ms
  2025-04-20 13:32:33 /assets/img/talha.jpg ............................................ ~ 10.41ms
  2025-04-20 13:32:33 /assets/img/profile2.jpg ......................................... ~ 23.67ms
  2025-04-20 13:32:33 /assets/img/profile.jpg .......................................... ~ 12.48ms
  2025-04-20 13:32:33 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0 ... ~ 0.57ms
  2025-04-20 13:32:33 /assets/fonts/fontawesome/fa-solid-900.woff2 ...................... ~ 1.62ms
  2025-04-20 13:32:33 /assets/fonts/fontawesome/fa-regular-400.woff2 .................... ~ 2.85ms
  2025-04-20 13:32:33 /assets/fonts/fontawesome/fa-brands-400.woff2 .................... ~ 14.79ms
  2025-04-20 13:32:34 /assets/img/kaiadmin/favicon.ico .................................. ~ 0.29ms
  2025-04-20 13:33:37 /admin/admin/tenants .................................................. ~ 2s
  2025-04-20 13:33:39 /assets/css/plugins.min.css ....................................... ~ 0.26ms
  2025-04-20 13:33:39 /assets/css/bootstrap.min.css ..................................... ~ 1.65ms
  2025-04-20 13:33:39 /assets/js/plugin/webfont/webfont.min.js .......................... ~ 2.53ms
  2025-04-20 13:33:39 /assets/css/demo.css .............................................. ~ 3.37ms
  2025-04-20 13:33:39 /assets/img/kaiadmin/logo_light.svg ............................... ~ 4.36ms
  2025-04-20 13:33:39 /assets/css/kaiadmin.min.css ...................................... ~ 5.20ms
  2025-04-20 13:33:40 /assets/img/jm_denis.jpg .......................................... ~ 0.09ms
  2025-04-20 13:33:40 /assets/img/chadengle.jpg ......................................... ~ 0.08ms
  2025-04-20 13:33:40 /assets/img/mlane.jpg ........................................... ~ 488.82ms
  2025-04-20 13:33:40 /assets/js/core/jquery-3.7.1.min.js ............................. ~ 491.25ms
  2025-04-20 13:33:40 /assets/css/fonts.min.css ....................................... ~ 492.62ms
  2025-04-20 13:33:40 /assets/js/core/popper.min.js ..................................... ~ 0.19ms
  2025-04-20 13:33:40 /assets/js/core/bootstrap.min.js .................................. ~ 2.00ms
  2025-04-20 13:33:40 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js ........ ~ 1.84ms
  2025-04-20 13:33:40 /assets/js/plugin/chart.js/chart.min.js ........................... ~ 2.45ms
  2025-04-20 13:33:40 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js ........ ~ 3.81ms
  2025-04-20 13:33:40 /assets/js/plugin/chart-circle/circles.min.js ..................... ~ 9.11ms
  2025-04-20 13:33:40 /assets/js/plugin/datatables/datatables.min.js ................... ~ 10.14ms
  2025-04-20 13:33:40 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js ........ ~ 9.61ms
  2025-04-20 13:33:40 /assets/js/plugin/jsvectormap/jsvectormap.min.js .................. ~ 1.53ms
  2025-04-20 13:33:40 /assets/js/plugin/jsvectormap/world.js ............................ ~ 4.74ms
  2025-04-20 13:33:40 /assets/js/plugin/sweetalert/sweetalert.min.js .................... ~ 5.86ms
