
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server
  2025-04-22 23:26:40 /admin/login .................................................... ~ 3s
  2025-04-22 23:26:45 / ............................................................... ~ 3s
  2025-04-22 23:26:48 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:51 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:52 / ............................................................... ~ 1s
  2025-04-22 23:26:53 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:54 /build/assets/app-Bo-u61x1.js ............................... ~ 0.45ms
  2025-04-22 23:26:54 /build/assets/app-DbTWgVAB.css .............................. ~ 2.39ms
  2025-04-22 23:26:54 / ............................................................... ~ 1s
  2025-04-22 23:26:56 /admin/login .................................................... ~ 1s
  2025-04-22 23:26:57 / ......................................................... ~ 519.60ms
  2025-04-22 23:26:58 /admin/login .............................................. ~ 502.69ms
  2025-04-22 23:26:59 / ............................................................... ~ 1s
  2025-04-22 23:26:59 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:00 / ............................................................... ~ 1s
  2025-04-22 23:27:02 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:04 / ............................................................... ~ 1s
  2025-04-22 23:27:06 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:07 / ............................................................... ~ 1s
  2025-04-22 23:27:08 /admin/login .............................................. ~ 514.74ms
  2025-04-22 23:27:09 / ............................................................... ~ 1s
  2025-04-22 23:27:10 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:10 /favicon.ico .................................................... ~ 1s
  2025-04-22 23:27:11 / ......................................................... ~ 515.02ms
  2025-04-22 23:27:12 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:13 / ............................................................... ~ 1s
  2025-04-22 23:27:41 /login .......................................................... ~ 1s
  2025-04-22 23:27:43 /favicon.ico ................................................ ~ 0.19ms
  2025-04-22 23:27:46 /favicon.ico ................................................ ~ 0.29ms
  2025-04-22 23:27:46 /admin/login .................................................... ~ 1s
  2025-04-22 23:27:47 /build/assets/app-DbTWgVAB.css .............................. ~ 0.25ms
  2025-04-22 23:27:47 /build/assets/app-Bo-u61x1.js ............................... ~ 1.80ms
  2025-04-22 23:27:47 /favicon.ico ................................................ ~ 0.16ms
  2025-04-22 23:27:59 /admin/login .................................................... ~ 1s
  2025-04-22 23:28:00 /build/assets/app-DbTWgVAB.css .............................. ~ 0.35ms
  2025-04-22 23:28:00 /build/assets/app-Bo-u61x1.js ............................... ~ 3.53ms
  2025-04-22 23:28:00 /favicon.ico ................................................ ~ 0.24ms
  2025-04-22 23:29:11 / ............................................................... ~ 1s
  2025-04-22 23:29:12 /admin/login .................................................... ~ 1s
  2025-04-22 23:29:13 /build/assets/app-DbTWgVAB.css .............................. ~ 0.28ms
  2025-04-22 23:29:13 /build/assets/app-Bo-u61x1.js ............................... ~ 2.22ms
  2025-04-22 23:29:13 /favicon.ico ................................................ ~ 0.28ms
  2025-04-22 23:29:17 /login .......................................................... ~ 2s
  2025-04-22 23:29:19 /admin/dashboard .......................................... ~ 520.61ms
  2025-04-22 23:29:20 /assets/css/bootstrap.min.css ............................. ~ 501.56ms
  2025-04-22 23:29:20 /assets/css/demo.css ........................................ ~ 2.16ms
  2025-04-22 23:29:20 /assets/js/plugin/webfont/webfont.min.js .................... ~ 4.13ms
  2025-04-22 23:29:20 /assets/css/plugins.min.css ............................... ~ 507.79ms
  2025-04-22 23:29:20 /assets/css/kaiadmin.min.css ................................ ~ 8.48ms
  2025-04-22 23:29:20 /assets/img/kaiadmin/logo_light.svg ......................... ~ 9.97ms
  2025-04-22 23:29:20 /assets/img/jm_denis.jpg .................................... ~ 0.17ms
  2025-04-22 23:29:20 /assets/img/chadengle.jpg ................................... ~ 0.16ms
  2025-04-22 23:29:20 /assets/img/mlane.jpg ....................................... ~ 0.26ms
  2025-04-22 23:29:20 /assets/js/core/jquery-3.7.1.min.js ......................... ~ 2.21ms
  2025-04-22 23:29:20 /assets/css/fonts.min.css ................................... ~ 0.17ms
  2025-04-22 23:29:20 /assets/js/core/popper.min.js ............................... ~ 7.05ms
  2025-04-22 23:29:20 /assets/js/core/bootstrap.min.js ........................... ~ 38.64ms
  2025-04-22 23:29:20 /assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js . ~ 45.40ms
  2025-04-22 23:29:20 /assets/js/plugin/chart-circle/circles.min.js .............. ~ 46.01ms
  2025-04-22 23:29:20 /assets/js/plugin/jquery.sparkline/jquery.sparkline.min.js . ~ 45.87ms
  2025-04-22 23:29:20 /assets/js/plugin/chart.js/chart.min.js .................... ~ 48.84ms
  2025-04-22 23:29:20 /assets/js/plugin/datatables/datatables.min.js .............. ~ 0.42ms
  2025-04-22 23:29:20 /assets/js/plugin/bootstrap-notify/bootstrap-notify.min.js . ~ 30.58ms
  2025-04-22 23:29:20 /assets/js/plugin/jsvectormap/jsvectormap.min.js ........... ~ 31.06ms
  2025-04-22 23:29:20 /assets/js/plugin/jsvectormap/world.js ..................... ~ 32.32ms
  2025-04-22 23:29:20 /assets/js/plugin/sweetalert/sweetalert.min.js ............. ~ 34.01ms
  2025-04-22 23:29:20 /assets/js/kaiadmin.min.js .................................. ~ 7.70ms
  2025-04-22 23:29:20 /assets/js/setting-demo.js .................................. ~ 9.82ms
  2025-04-22 23:29:20 /assets/js/demo.js .......................................... ~ 8.71ms
  2025-04-22 23:29:20 /assets/img/talha.jpg ....................................... ~ 3.17ms
  2025-04-22 23:29:20 /assets/img/profile2.jpg .................................... ~ 5.67ms
  2025-04-22 23:29:20 /assets/img/profile.jpg ..................................... ~ 8.33ms
  2025-04-22 23:29:20 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.50ms
  2025-04-22 23:29:20 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 2.02ms
  2025-04-22 23:29:20 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 0.23ms
  2025-04-22 23:29:20 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 1.16ms
  2025-04-22 23:29:21 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.17ms
  2025-04-22 23:29:24 /logout ......................................................... ~ 1s
  2025-04-22 23:29:25 / ............................................................... ~ 1s
  2025-04-22 23:29:26 /admin/login .................................................... ~ 1s
  2025-04-22 23:29:27 /build/assets/app-DbTWgVAB.css .............................. ~ 0.25ms
  2025-04-22 23:29:27 /build/assets/app-Bo-u61x1.js ............................... ~ 1.82ms
  2025-04-22 23:29:27 /favicon.ico ................................................ ~ 0.16ms
  2025-04-22 23:36:04 /login .......................................................... ~ 2s
  2025-04-22 23:36:06 /admin/dashboard ................................................ ~ 9s
  2025-04-22 23:36:50 /admin/dashboard ................................................ ~ 4s
