
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2025-04-22 23:16:42 /assets/js/plugin/sweetalert/sweetalert.min.js .............. ~ 0.13ms
  2025-04-22 23:16:42 /assets/js/kaiadmin.min.js .................................. ~ 0.56ms
  2025-04-22 23:16:42 /assets/js/setting-demo.js .................................. ~ 4.69ms
  2025-04-22 23:16:42 /assets/js/demo.js .......................................... ~ 0.16ms
  2025-04-22 23:16:42 /assets/img/talha.jpg ....................................... ~ 0.24ms
  2025-04-22 23:16:42 /assets/img/profile2.jpg .................................... ~ 1.88ms
  2025-04-22 23:16:42 /assets/img/profile.jpg ..................................... ~ 3.42ms
  2025-04-22 23:16:42 /assets/fonts/fontawesome/fa-solid-900.woff2 ................ ~ 0.19ms
  2025-04-22 23:16:42 /assets/fonts/simple-line-icons/Simple-Line-Icons.woff2?v=2.4.0  ~ 2.61ms
  2025-04-22 23:16:42 /assets/fonts/fontawesome/fa-regular-400.woff2 .............. ~ 0.31ms
  2025-04-22 23:16:42 /assets/fonts/fontawesome/fa-brands-400.woff2 ............... ~ 0.23ms
  2025-04-22 23:16:42 /assets/img/kaiadmin/favicon.ico ............................ ~ 0.33ms
  2025-04-22 23:18:18 / ............................................................... ~ 1s
  2025-04-22 23:18:19 /tenant/login ............................................. ~ 500.39ms
  2025-04-22 23:18:20 / ............................................................... ~ 1s
  2025-04-22 23:18:21 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:22 / ......................................................... ~ 501.89ms
  2025-04-22 23:18:22 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:23 / ......................................................... ~ 511.84ms
  2025-04-22 23:18:24 /tenant/login ............................................. ~ 514.27ms
  2025-04-22 23:18:24 / ......................................................... ~ 513.69ms
  2025-04-22 23:18:25 /tenant/login ............................................. ~ 508.16ms
  2025-04-22 23:18:26 / ......................................................... ~ 504.15ms
  2025-04-22 23:18:26 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:27 / ......................................................... ~ 510.45ms
  2025-04-22 23:18:28 /tenant/login ................................................... ~ 1s
  2025-04-22 23:18:29 / ............................................................... ~ 1s
